Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT-SRW - CHICAGO BOARD OF TRADE,230228,2/28/2023,001602,CBT ,00,001 ,341154,50002,49809,70397,4461,16015,50358,144162,53179,42592,15550,20131,302674,303307,38480,37847,185255,26969,21586,30476,10025,50,56233,106734,9688,37679,16357,1156,162251,165596,23004,19659,155899,23033,28223,51887,6402,3999,25813,69116,11803,18848,13128,5040,140423,137711,15476,18188,-18206,-1778,-19141,434,-780,-2466,693,20297,-4679,-196,-526,-11802,-19794,-19097,1588,891,100,14.7,14.6,20.6,1.3,4.7,14.8,42.3,15.6,12.5,4.6,5.9,88.7,88.9,11.3,11.1,100,14.6,11.7,16.5,5.4,0,30.4,57.6,5.2,20.3,8.8,0.6,87.6,89.4,12.4,10.6,100,14.8,18.1,33.3,4.1,2.6,16.6,44.3,7.6,12.1,8.4,3.2,90.1,88.3,9.9,11.7,335,65,67,21,6,20,44,77,66,52,33,37,247,252,309,45,49,16,10,,47,70,30,53,29,4,179,175,238,43,59,19,6,15,28,54,24,24,32,21,153,175,12.2,12.8,21.6,23.2,11.5,11.3,19.3,19.6,15.3,19.4,25.9,31.1,14.5,19.1,25.1,30.6,21,17.7,35.2,28,20.9,16.8,35.1,26.3,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230221,2/21/2023,001602,CBT ,00,001 ,359360,51780,68950,69963,5241,18481,49665,123865,57858,42788,16076,31933,322468,322404,36892,36956,211657,31698,36612,31983,8395,3326,50711,94187,18326,38524,17454,12314,186882,190614,24775,21043,147703,20082,32338,47741,6607,5394,24515,55239,13971,19626,13984,4257,135586,131790,12117,15913,-11148,2660,-5850,76,-879,59,-1721,10771,-14624,-737,135,1458,-12829,-8930,1681,-2218,100,14.4,19.2,19.5,1.5,5.1,13.8,34.5,16.1,11.9,4.5,8.9,89.7,89.7,10.3,10.3,100,15,17.3,15.1,4,1.6,24,44.5,8.7,18.2,8.2,5.8,88.3,90.1,11.7,9.9,100,13.6,21.9,32.3,4.5,3.7,16.6,37.4,9.5,13.3,9.5,2.9,91.8,89.2,8.2,10.8,341,67,78,22,7,21,41,72,69,53,33,51,265,266,321,55,67,18,11,5,43,66,45,55,29,33,219,216,248,43,68,20,6,16,30,48,28,31,32,24,163,186,12.5,11.8,21,20.2,10.9,9.3,18.5,16.2,12.5,14.6,22.2,25.5,11.8,13.8,21.5,23.6,20.7,17.9,36.6,28.1,20.5,17.1,34.5,25.9,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230214,2/14/2023,001602,CBT ,00,001 ,370508,49120,74800,69887,6120,18422,51386,113094,72482,43525,15941,30475,335297,331334,35211,39174,229999,26799,42653,31794,8539,4414,53768,80501,37314,36758,18061,14857,205704,206339,24295,23660,140509,22321,32147,47111,6599,4990,22517,57492,10269,18844,9957,3541,129593,124995,10916,15514,12346,-1904,8433,421,912,-1151,-540,-10920,3752,5597,3802,5282,11457,10110,889,2236,100,13.3,20.2,18.9,1.7,5,13.9,30.5,19.6,11.7,4.3,8.2,90.5,89.4,9.5,10.6,100,11.7,18.5,13.8,3.7,1.9,23.4,35,16.2,16,7.9,6.5,89.4,89.7,10.6,10.3,100,15.9,22.9,33.5,4.7,3.6,16,40.9,7.3,13.4,7.1,2.5,92.2,89,7.8,11,351,68,79,25,6,20,46,70,72,49,36,52,272,272,332,58,70,21,10,10,48,63,48,50,33,32,230,225,247,41,69,22,5,14,31,49,22,29,24,26,158,182,12.2,13.1,21.1,21.5,10.6,9.4,18.2,15.1,13.3,16.4,23.2,25.6,11.3,11.6,20.4,19.5,22,19.7,37.2,30.8,21.7,19.2,36.1,28.8,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230207,2/7/2023,001602,CBT ,00,001 ,358162,51024,66367,69466,5208,19573,51926,124014,68730,37928,12139,25193,323840,321224,34322,36938,226813,31891,35846,34612,9106,4591,57581,97942,30586,33428,15287,9771,202460,203129,24353,23684,131349,19133,30521,45237,6485,4599,23905,55632,8584,17103,9455,2819,121380,118095,9969,13254,7291,2115,-3930,1183,-123,2529,-2624,5309,-1923,2482,788,5120,8882,7770,-1591,-479,100,14.2,18.5,19.4,1.5,5.5,14.5,34.6,19.2,10.6,3.4,7,90.4,89.7,9.6,10.3,100,14.1,15.8,15.3,4,2,25.4,43.2,13.5,14.7,6.7,4.3,89.3,89.6,10.7,10.4,100,14.6,23.2,34.4,4.9,3.5,18.2,42.4,6.5,13,7.2,2.1,92.4,89.9,7.6,10.1,345,71,76,25,4,17,43,76,72,53,30,48,269,264,329,59,62,18,11,9,43,73,56,58,28,27,228,221,225,41,63,18,5,11,34,37,22,25,29,25,148,164,12.8,12.6,21.4,22.2,11.2,10.7,19.1,16.8,13.2,15.1,23.6,25.6,12,13.3,21.9,22.9,23.5,21.8,39.2,34,23.5,21.7,37.9,32,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230131,1/31/2023,001602,CBT ,00,001 ,350871,48909,70297,68283,5331,17044,54550,118705,70653,35446,11351,20073,314958,313454,35913,37417,225890,29946,40142,36021,7143,4507,59206,94863,34695,29438,14383,5680,199493,201413,26397,24477,124981,18963,30155,39937,5863,4862,22340,50838,8962,17097,8057,3304,115465,112041,9516,12940,540,-7987,505,-389,-22,190,2001,-7646,4687,-792,595,898,-1392,-793,1932,1333,100,13.9,20,19.5,1.5,4.9,15.5,33.8,20.1,10.1,3.2,5.7,89.8,89.3,10.2,10.7,100,13.3,17.8,15.9,3.2,2,26.2,42,15.4,13,6.4,2.5,88.3,89.2,11.7,10.8,100,15.2,24.1,32,4.7,3.9,17.9,40.7,7.2,13.7,6.4,2.6,92.4,89.6,7.6,10.4,339,71,76,22,6,17,51,69,68,55,31,44,262,257,323,59,67,19,9,9,50,66,55,53,32,22,227,215,216,42,61,18,5,10,31,37,21,23,27,23,144,156,12.5,13.2,21.7,23.3,11.2,11.3,19.3,17.5,14.3,16.1,23.8,27.5,13,14.4,21.9,24.2,24.2,22.4,39.3,33.9,22.8,22.2,37.2,30.8,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230124,1/24/2023,001602,CBT ,00,001 ,350331,56896,69792,68672,5353,16854,52549,126351,65966,36238,10756,19175,316350,314247,33981,36084,228034,39190,40864,36403,6554,4454,58853,105563,28914,31029,13599,4350,203193,204298,24841,23736,122297,17706,28928,39450,5980,5219,21961,49053,8787,16093,8041,3941,113157,109949,9140,12348,9501,2450,-2563,-507,-656,-1477,-732,8429,5914,2950,95,-136,8462,9606,1039,-105,100,16.2,19.9,19.6,1.5,4.8,15,36.1,18.8,10.3,3.1,5.5,90.3,89.7,9.7,10.3,100,17.2,17.9,16,2.9,2,25.8,46.3,12.7,13.6,6,1.9,89.1,89.6,10.9,10.4,100,14.5,23.7,32.3,4.9,4.3,18,40.1,7.2,13.2,6.6,3.2,92.5,89.9,7.5,10.1,342,66,77,23,6,17,44,80,63,56,29,43,253,260,329,61,63,19,10,9,45,75,49,58,26,19,221,216,212,38,58,20,5,8,31,36,20,23,23,24,139,151,12.7,13.2,21.8,23.9,11.2,11.4,19,18.4,14.4,15.9,23.8,27.6,12.9,15.1,21.6,25.2,24.7,23.9,40.3,35.7,22.3,23.5,37.8,32.4,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230117,1/17/2023,001602,CBT ,00,001 ,340830,54446,72355,69179,6009,18331,53281,117922,60052,33288,10661,19311,307888,304641,32942,36189,219578,39264,43694,35200,7457,5107,59354,99526,23270,29636,13054,3331,195162,195439,24416,24139,121252,15182,28661,41670,6243,5533,22359,46828,8350,15209,9164,4423,112726,109202,8526,12050,6292,2298,737,211,40,-1316,-169,1841,5034,-347,-59,1238,6949,7515,-657,-1223,100,16,21.2,20.3,1.8,5.4,15.6,34.6,17.6,9.8,3.1,5.7,90.3,89.4,9.7,10.6,100,17.9,19.9,16,3.4,2.3,27,45.3,10.6,13.5,5.9,1.5,88.9,89,11.1,11,100,12.5,23.6,34.4,5.1,4.6,18.4,38.6,6.9,12.5,7.6,3.6,93,90.1,7,9.9,340,71,79,23,6,18,49,73,66,47,33,46,260,262,328,66,62,20,9,7,49,69,55,52,30,22,231,213,216,38,59,19,6,8,30,36,19,21,30,24,136,155,14,12.7,23.2,22.9,11.4,11.3,19.5,18.1,14.3,14.8,23,26.2,13.6,14.3,21.4,24.6,27.4,22.2,43.6,35,24.3,21.4,40.4,31,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230110,1/10/2023,001602,CBT ,00,001 ,334538,52148,71618,68968,5969,19647,53450,116081,55018,33635,10720,18073,300939,297126,33599,37412,217526,39530,43023,35239,8689,5462,58350,98490,20136,30050,13801,3447,192214,193048,25312,24478,117012,12618,28595,42712,6263,5202,22575,45066,7407,15029,8363,3182,108725,104078,8287,12934,2961,248,-7243,-2200,-602,753,-770,9041,-142,3166,780,-1323,-268,1264,3229,1697,100,15.6,21.4,20.6,1.8,5.9,16,34.7,16.4,10.1,3.2,5.4,90,88.8,10,11.2,100,18.2,19.8,16.2,4,2.5,26.8,45.3,9.3,13.8,6.3,1.6,88.4,88.7,11.6,11.3,100,10.8,24.4,36.5,5.4,4.4,19.3,38.5,6.3,12.8,7.1,2.7,92.9,88.9,7.1,11.1,322,65,71,22,6,17,43,73,58,52,30,39,242,240,310,60,57,19,9,8,41,70,48,56,25,17,212,200,198,34,53,19,5,8,27,35,16,18,28,19,126,137,14,12.8,23.6,23.3,11.3,11,19.5,18.7,13.8,15,23.2,27.3,13.3,14.6,21.6,25.6,29.3,22.5,45.8,35.1,26.4,22.3,42.9,32.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,230103,1/3/2023,001602,CBT ,00,001 ,331577,51900,78861,71168,6571,18894,54220,107040,55160,30469,9940,19396,301207,295862,30370,35715,217840,40467,51592,37313,9853,5904,58634,89223,21074,27646,13158,3558,194596,194362,23244,23478,113737,11433,27269,43367,6230,3478,21758,43989,7914,15058,9017,3603,106611,101500,7126,12237,15,514,4336,792,-11,2337,-838,-4263,-186,-311,-884,-1693,615,-364,-600,379,100,15.7,23.8,21.5,2,5.7,16.4,32.3,16.6,9.2,3,5.8,90.8,89.2,9.2,10.8,100,18.6,23.7,17.1,4.5,2.7,26.9,41,9.7,12.7,6,1.6,89.3,89.2,10.7,10.8,100,10.1,24,38.1,5.5,3.1,19.1,38.7,7,13.2,7.9,3.2,93.7,89.2,6.3,10.8,308,59,74,20,6,15,38,70,57,43,33,35,226,233,295,52,62,17,9,7,38,65,45,49,27,16,190,200,188,31,55,18,5,8,23,33,16,19,25,20,121,133,14.2,12.7,24.5,23.4,11.7,10.8,20,17.6,15,15.5,25.1,28.7,14.4,14.1,22.8,24,29.8,25.4,46.9,37.4,28.1,24.5,45.2,33.8,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,230228,2/28/2023,001612,CBT ,00,001 ,166388,32182,64398,39029,1389,6592,35825,36364,20786,8215,10224,5897,148526,145650,17862,20738,86249,10796,35267,20140,2574,26,35736,26301,2432,6904,9225,1,76035,75826,10214,10423,80139,21386,29131,20907,833,4548,12582,22556,5861,3420,3108,3787,72491,69824,7648,10315,-14589,3802,-11066,1028,-617,-2909,-7075,8813,-1049,-683,-2159,-5505,-12391,-14492,-2198,-97,100,19.3,38.7,23.5,0.8,4,21.5,21.9,12.5,4.9,6.1,3.5,89.3,87.5,10.7,12.5,100,12.5,40.9,23.4,3,0,41.4,30.5,2.8,8,10.7,0,88.2,87.9,11.8,12.1,100,26.7,36.4,26.1,1,5.7,15.7,28.1,7.3,4.3,3.9,4.7,90.5,87.1,9.5,12.9,212,49,58,20,4,10,35,38,37,18,19,20,157,155,190,32,45,15,7,,34,31,17,20,14,,110,108,168,35,53,19,4,6,22,26,20,13,16,14,112,118,18,18.5,28.2,28.5,14.9,16,23.6,23.6,24.7,27.3,38.5,40.6,23.9,27.3,37.7,40.6,22.3,24.3,33.7,39.2,15.9,21,25.7,30.3,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
