Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,090741,CME ,00,090 ,165097,58309,3481,810,21497,76499,6034,26869,34614,6985,13119,2814,0,133623,131237,31474,33860,13201,4482,12,-136,-703,14170,117,12193,1204,639,584,1034,-482,16694,16558,-3493,-3357,100,35.3,2.1,0.5,13,46.3,3.7,16.3,21,4.2,7.9,1.7,0,80.9,79.5,19.1,20.5,115,13,,,6,31,8,16,32,14,10,4,0,58,82,30.8,21.7,45.6,32.3,30.3,21.3,44.3,31.6,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,090741,CME ,00,090 ,151896,53827,3469,946,22200,62329,5917,14676,33410,6346,12535,1780,482,116929,114679,34967,37217,2837,-458,30,246,-1391,-4926,343,-1284,2478,2105,1599,-502,73,1233,-153,1604,2990,100,35.4,2.3,0.6,14.6,41,3.9,9.7,22,4.2,8.3,1.2,0.3,77,75.5,23,24.5,105,12,,,6,27,9,14,31,12,10,,,54,76,32,20.7,46.2,31.2,31.5,20.4,44.7,30.8,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,090741,CME ,00,090 ,149059,54285,3439,700,23591,67255,5574,15960,30932,4241,10936,2282,409,115696,114832,33363,34227,-562,8661,0,16,-590,1627,360,-9927,-6110,181,-126,492,398,-1027,-3036,465,2474,100,36.4,2.3,0.5,15.8,45.1,3.7,10.7,20.8,2.8,7.3,1.5,0.3,77.6,77,22.4,23,92,11,,,8,25,7,11,25,12,7,,,49,65,32.3,22,47.7,34,31.8,21.6,47.2,33.6,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,090741,CME ,00,090 ,149621,45624,3439,684,24181,65628,5214,25887,37042,4060,11062,1790,11,116723,117868,32898,31753,9454,5671,-891,7,-1314,6331,-21,7535,4023,-663,-475,552,-802,9938,8536,-484,918,100,30.5,2.3,0.5,16.2,43.9,3.5,17.3,24.8,2.7,7.4,1.2,0,78,78.8,22,21.2,97,11,,,8,24,8,15,26,13,7,,,53,67,28.9,23.3,43.4,35.4,28.9,22.8,42.8,34.8,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,090741,CME ,00,090 ,140167,39953,4330,677,25495,59297,5235,18352,33019,4723,11537,1238,813,106785,109332,33382,30835,2691,-468,900,8,153,850,16,1266,-1162,546,-1379,-22,94,236,1230,2455,1461,100,28.5,3.1,0.5,18.2,42.3,3.7,13.1,23.6,3.4,8.2,0.9,0.6,76.2,78,23.8,22,99,11,4,,9,22,8,19,23,12,8,,,57,66,27.7,22.9,42.8,33.7,27.7,22.9,40.9,33.4,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,090741,CME ,00,090 ,137476,40421,3430,669,25342,58447,5219,17086,34181,4177,12916,1260,719,106549,108102,30927,29374,5130,4225,-2535,12,202,3333,51,2628,7545,-305,-416,78,17,6414,8196,-1284,-3066,100,29.4,2.5,0.5,18.4,42.5,3.8,12.4,24.9,3,9.4,0.9,0.5,77.5,78.6,22.5,21.4,103,13,,,9,22,8,18,27,11,10,,,60,65,27.1,22.4,42.6,33,27.1,22.4,40.3,32.9,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,090741,CME ,00,090 ,132346,36196,5965,657,25140,55114,5168,14458,26636,4482,13332,1182,702,100135,99906,32211,32440,-1542,-1851,1435,8,-414,-196,180,507,-4850,533,377,-1689,190,-470,-4389,-1072,2847,100,27.3,4.5,0.5,19,41.6,3.9,10.9,20.1,3.4,10.1,0.9,0.5,75.7,75.5,24.3,24.5,90,11,,,8,21,7,14,21,10,10,,,52,57,26.7,23,42.9,32.5,26.7,23,41.8,32.1,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,090741,CME ,00,090 ,133888,38047,4530,649,25554,55310,4988,13951,31486,3949,12955,2871,512,100605,104295,33283,29593,-5107,74,-747,-2,-1004,-5048,-1058,-1959,3372,-823,-1761,-762,13,-6520,-5055,1413,-52,100,28.4,3.4,0.5,19.1,41.3,3.7,10.4,23.5,2.9,9.7,2.1,0.4,75.1,77.9,24.9,22.1,93,12,,,8,22,6,12,25,11,9,,,52,60,27.2,23,43,33,27.2,23,41.3,32.6,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,090741,CME ,00,090 ,138995,37973,5277,651,26558,60358,6046,15910,28114,4772,14716,3633,499,107125,109350,31870,29645,-1549,-884,125,6,-3305,4254,536,-419,-7544,508,419,-406,-5,-3144,-2526,1595,977,100,27.3,3.8,0.5,19.1,43.4,4.3,11.4,20.2,3.4,10.6,2.6,0.4,77.1,78.7,22.9,21.3,105,12,,,10,24,11,15,27,12,11,,,62,68,27,22.5,41.3,32.9,27,22.5,39.9,32.1,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,092741,CME ,00,092 ,41991,16596,0,138,3154,11152,476,10564,10620,36,1980,0,0,32944,22422,9047,19569,2904,2291,-1418,-18,-569,1038,1,1263,-1182,-1,0,-437,0,2967,-2017,-63,4921,100,39.5,0,0.3,7.5,26.6,1.1,25.2,25.3,0.1,4.7,0,0,78.5,53.4,21.5,46.6,39,6,0,,,9,4,11,9,4,,0,0,24,24,40.4,25.7,58.7,38.6,40,25.7,58.3,38.6,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
