Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT-SRW - CHICAGO BOARD OF TRADE,220607,6/7/2022,001602,CBT ,00,001 ,333705,28034,104081,81030,24846,7082,82385,68611,38662,27293,17186,34513,298999,294981,34706,38724,299198,24738,93754,77838,21709,4082,70220,69863,32973,30256,16632,26849,266956,265862,32242,33336,34507,3296,10327,5331,5276,861,16364,2947,1490,1730,5247,2971,32043,29119,2464,5388,2569,1961,-2242,-5148,271,1768,-5752,-2847,-5254,1466,-3011,11600,641,285,1928,2284,100,8.4,31.2,24.3,7.4,2.1,24.7,20.6,11.6,8.2,5.2,10.3,89.6,88.4,10.4,11.6,100,8.3,31.3,26,7.3,1.4,23.5,23.4,11,10.1,5.6,9,89.2,88.9,10.8,11.1,100,9.6,29.9,15.4,15.3,2.5,47.4,8.5,4.3,5,15.2,8.6,92.9,84.4,7.1,15.6,325,54,94,17,14,17,57,41,54,42,42,55,246,252,321,53,92,19,12,14,57,40,53,47,37,54,242,245,129,12,52,11,9,5,11,6,4,10,26,16,62,100,16.3,13.2,27.9,22.4,16.3,11.3,27.9,19.1,17.3,13.7,27.6,22.9,17.3,12.7,27.6,21.1,48,25.1,62.3,39.5,48,18.8,61,30.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220531,5/31/2022,001602,CBT ,00,001 ,331136,26073,106323,86178,24575,5314,88137,71458,43916,25827,20197,22913,298358,294696,32778,36440,308960,24961,98898,87912,21972,2598,84245,77142,35478,25636,22755,17913,278743,276756,30217,32204,22176,1112,7425,796,5133,186,10722,1146,1608,4264,1515,927,19615,17940,2561,4236,4529,2406,-4349,-1173,-110,610,-5096,3008,4472,890,-3179,3276,5385,3728,-856,801,100,7.9,32.1,26,7.4,1.6,26.6,21.6,13.3,7.8,6.1,6.9,90.1,89,9.9,11,100,8.1,32,28.5,7.1,0.8,27.3,25,11.5,8.3,7.4,5.8,90.2,89.6,9.8,10.4,100,5,33.5,3.6,23.1,0.8,48.3,5.2,7.3,19.2,6.8,4.2,88.5,80.9,11.5,19.1,338,53,95,20,11,18,65,46,59,42,41,50,255,254,335,52,95,20,11,14,65,45,57,42,43,49,249,249,120,9,50,9,10,5,11,7,,11,18,9,53,90,16,13.2,27.6,21.8,15.9,11.7,27.5,19.5,16.7,14.1,28.1,22.5,16.7,13.1,28.1,21,50.4,26.5,66.2,42,50,25.8,63.1,36.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220524,5/24/2022,001602,CBT ,00,001 ,326607,23667,110672,87351,24685,4704,93233,68450,39444,24937,23376,19637,292973,290968,33634,35639,307153,22848,103540,88655,22114,2572,89113,74781,31468,24303,23833,17119,276078,275427,31075,31726,19454,819,7132,637,4512,191,11221,770,875,2509,1418,643,16895,15541,2559,3913,-44,-293,-7578,-3676,1928,-650,-4257,2416,3955,834,-3377,4402,315,1096,-359,-1140,100,7.2,33.9,26.7,7.6,1.4,28.5,21,12.1,7.6,7.2,6,89.7,89.1,10.3,10.9,100,7.4,33.7,28.9,7.2,0.8,29,24.3,10.2,7.9,7.8,5.6,89.9,89.7,10.1,10.3,100,4.2,36.7,3.3,23.2,1,57.7,4,4.5,12.9,7.3,3.3,86.8,79.9,13.2,20.1,334,55,102,20,10,15,67,40,57,38,41,48,249,251,332,54,101,20,10,12,67,39,55,36,43,47,244,246,113,11,51,7,9,5,11,4,,10,16,6,47,87,16.4,13.2,28.2,22.4,16.4,11.6,28.1,20.4,17.1,13.9,28.5,23,17.1,12.9,28.5,21.6,49.6,28.4,66.2,42,49.3,27.5,63.6,38.2,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220517,5/17/2022,001602,CBT ,00,001 ,326651,23960,118250,91027,22757,5354,97490,66034,35489,24103,26753,15235,292658,289872,33993,36779,309057,23360,111959,91910,20294,3740,93069,71965,28143,23544,26051,13976,277742,276128,31315,32929,17594,600,6291,535,3881,196,11041,689,726,1465,1608,353,14916,13744,2678,3850,18325,-892,6907,-261,181,863,11197,-4346,3403,-1150,7273,1007,14167,15288,4158,3037,100,7.3,36.2,27.9,7,1.6,29.8,20.2,10.9,7.4,8.2,4.7,89.6,88.7,10.4,11.3,100,7.6,36.2,29.7,6.6,1.2,30.1,23.3,9.1,7.6,8.4,4.5,89.9,89.3,10.1,10.7,100,3.4,35.8,3,22.1,1.1,62.8,3.9,4.1,8.3,9.1,2,84.8,78.1,15.2,21.9,332,53,103,18,8,16,74,36,59,39,42,40,243,249,330,52,103,18,8,12,75,34,56,38,42,40,237,245,108,7,50,7,8,5,11,4,,6,18,4,39,85,16.4,13.7,28.2,23.2,16.4,11.7,28.2,20.7,17.1,14.1,28.4,23.8,17.1,12.8,28.4,21.8,56.8,28,69.6,40.6,56.4,27.1,66.9,37,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220510,5/10/2022,001602,CBT ,00,001 ,308326,24852,111343,91288,22576,4491,86293,70380,32086,25253,19480,14228,278491,274584,29835,33742,293514,24092,106003,92323,20328,2852,83518,74562,26404,24522,20411,12398,266109,262958,27405,30556,14812,760,5340,488,3771,116,7745,788,712,1969,307,592,12382,11626,2430,3186,-10907,-73,1981,-1164,336,-2138,3873,-1338,-7450,-3765,-228,-2580,-13297,-11417,2390,510,100,8.1,36.1,29.6,7.3,1.5,28,22.8,10.4,8.2,6.3,4.6,90.3,89.1,9.7,10.9,100,8.2,36.1,31.5,6.9,1,28.5,25.4,9,8.4,7,4.2,90.7,89.6,9.3,10.4,100,5.1,36.1,3.3,25.5,0.8,52.3,5.3,4.8,13.3,2.1,4,83.6,78.5,16.4,21.5,328,57,97,18,12,14,58,46,55,46,35,41,245,240,326,54,97,19,11,10,59,44,51,44,36,41,235,237,108,9,48,7,10,4,10,,,9,16,7,40,86,17.1,13.4,29,22.3,17,11.9,28.9,20.5,17.9,13.8,29.6,22.8,17.9,12.8,29.5,21.4,46.3,29.8,62.6,41.8,45.4,29.3,59.2,39,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220503,5/3/2022,001602,CBT ,00,001 ,319233,24925,109362,92452,22240,6629,82420,71718,39536,29018,19708,16808,291788,286001,27445,33232,305485,24176,104509,93589,19991,5068,80207,75583,34087,28605,21444,14334,280066,275016,25419,30469,13748,749,4853,288,3674,136,6884,806,778,2447,298,440,11722,10985,2026,2763,-6361,-2491,-6175,-1346,-829,398,-3297,971,4445,2129,-501,-4155,-4317,-5846,-2044,-515,100,7.8,34.3,29,7,2.1,25.8,22.5,12.4,9.1,6.2,5.3,91.4,89.6,8.6,10.4,100,7.9,34.2,30.6,6.5,1.7,26.3,24.7,11.2,9.4,7,4.7,91.7,90,8.3,10,100,5.4,35.3,2.1,26.7,1,50.1,5.9,5.7,17.8,2.2,3.2,85.3,79.9,14.7,20.1,328,57,102,19,11,14,60,40,56,41,39,44,245,247,326,56,102,19,11,13,59,40,53,42,37,44,239,246,106,10,48,6,10,4,11,,,8,14,7,41,83,17.4,13,29.7,21.7,17.4,11.9,29.2,19.9,18.2,13.3,30.5,22.1,18.2,12.6,29.9,20.5,39.8,30.6,62.2,44.5,39.2,30,59,40.7,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220426,4/26/2022,001602,CBT ,00,001 ,325594,27416,115537,93798,23069,6231,85717,70747,35091,26889,20209,20963,296105,291847,29489,33747,9611,3463,3963,160,204,0,1742,1406,1,1811,2120,0,7177,7694,2434,1917,315983,23953,111574,93651,22878,6218,84178,69544,34887,27904,20915,18137,288928,284153,27055,31830,-11444,-113,-3484,-528,-190,1320,-4631,-4877,2520,-4102,-2261,-3283,-8817,-10255,-2627,-1189,100,8.4,35.5,28.8,7.1,1.9,26.3,21.7,10.8,8.3,6.2,6.4,90.9,89.6,9.1,10.4,100,36,41.2,1.7,2.1,0,18.1,14.6,0,18.8,22.1,0,74.7,80.1,25.3,19.9,100,7.6,35.3,29.6,7.2,2,26.6,22,11,8.8,6.6,5.7,91.4,89.9,8.6,10.1,325,66,99,18,11,12,57,43,58,40,35,48,253,247,82,21,26,4,,0,4,5,,15,7,0,45,42,324,56,98,18,11,12,57,43,58,39,37,45,241,245,17.6,13.1,29.8,21.8,17.5,11.7,29.4,19,41.6,48.9,55.9,61.6,41.6,47.2,54.7,59.3,18.1,13.5,30.7,22.4,18,12.1,30.3,20,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220419,4/19/2022,001602,CBT ,00,001 ,337038,27529,119021,94326,23259,4911,90348,75624,32571,30991,22470,24246,304922,302102,32116,34936,32310,3836,10379,2872,273,0,9325,9060,236,9176,7814,160,25605,27922,6705,4388,304728,23693,108642,91812,23344,4553,83973,69514,29385,30006,22847,15895,279317,274180,25411,30548,-1233,670,-584,-301,120,740,875,3218,1933,898,-804,-5664,-849,-1041,-384,-192,100,8.2,35.3,28,6.9,1.5,26.8,22.4,9.7,9.2,6.7,7.2,90.5,89.6,9.5,10.4,100,11.9,32.1,8.9,0.8,0,28.9,28,0.7,28.4,24.2,0.5,79.2,86.4,20.8,13.6,100,7.8,35.7,30.1,7.7,1.5,27.6,22.8,9.6,9.8,7.5,5.2,91.7,90,8.3,10,332,58,101,19,10,13,59,45,61,46,36,51,253,255,170,21,48,13,6,0,21,19,4,30,16,,87,93,326,50,98,19,10,13,57,47,57,41,41,41,232,248,16.8,12.9,28.5,21.5,16.7,11.2,28.3,18.5,22,31.9,32.4,45.6,22,31.9,32.4,44.2,18,14.2,30.5,23.4,17.9,12.5,30.3,20.2,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220412,4/12/2022,001602,CBT ,00,001 ,338271,26859,119605,94627,23139,4171,89473,72406,30638,30093,23274,29910,305771,303143,32500,35128,55331,4358,16970,12052,404,0,16589,15967,961,12239,14732,463,46662,49497,8669,5834,282940,22501,102635,82982,23142,3764,75068,58623,27493,31811,22499,15490,259109,253646,23831,29294,-6344,-1681,-655,-4501,399,234,4570,1456,-7381,709,-112,1107,-6943,-4952,599,-1392,100,7.9,35.4,28,6.8,1.2,26.4,21.4,9.1,8.9,6.9,8.8,90.4,89.6,9.6,10.4,100,7.9,30.7,21.8,0.7,0,30,28.9,1.7,22.1,26.6,0.8,84.3,89.5,15.7,10.5,100,8,36.3,29.3,8.2,1.3,26.5,20.7,9.7,11.2,8,5.5,91.6,89.6,8.4,10.4,324,55,99,19,10,13,59,36,57,42,38,56,249,247,219,22,59,21,7,0,33,26,12,37,20,4,120,121,311,46,93,19,10,12,61,34,49,36,41,47,225,231,16.5,12.5,28.4,20.9,16.5,10.7,28.2,18.3,17.3,29.2,28.6,40.9,17.3,29.2,28.6,40.6,17.6,13.7,30.4,23.4,17.6,12.4,30,20.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT-SRW - CHICAGO BOARD OF TRADE,220405,4/5/2022,001602,CBT ,00,001 ,344615,28540,120260,99128,22740,3937,84903,70950,38019,29384,23386,28803,312714,308095,31901,36520,114193,2610,43572,51384,928,3,32060,31021,838,15864,27292,32,102791,103686,11402,10507,230422,25930,76688,48679,22747,2999,65143,52229,24881,29889,12463,12402,209923,204409,20499,26013,3391,-2291,-245,-3627,224,-765,-1277,4415,286,2624,-9460,7601,2551,2056,840,1335,100,8.3,34.9,28.8,6.6,1.1,24.6,20.6,11,8.5,6.8,8.4,90.7,89.4,9.3,10.6,100,2.3,38.2,45,0.8,0,28.1,27.2,0.7,13.9,23.9,0,90,90.8,10,9.2,100,11.3,33.3,21.1,9.9,1.3,28.3,22.7,10.8,13,5.4,5.4,91.1,88.7,8.9,11.3,311,57,98,19,10,15,59,36,60,40,31,44,243,235,244,15,76,21,7,,34,37,18,33,25,,113,156,282,49,87,18,11,11,60,25,41,36,29,33,210,195,16.9,13.7,28.9,22.6,16.8,10.6,28.1,18.3,26.6,22.3,44.9,35.2,26.6,22.3,44.9,35.2,17,18.2,29.1,28.9,17,15.8,28,25,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
