Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net,Dealer_Max,Dealer_Min,Dealer_Index,Asset_Mgr_Net,Asset_Mgr_Max,Asset_Mgr_Min,Asset_Mgr_Index,Lev_Money_Net,Lev_Money_Max,Lev_Money_Min,Lev_Money_Index,Other_Net,Other_Max,Other_Min,Other_Index,Price,Price_Min,Price_Max,Price_Index
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,6/7/2022,232741,166422,42518,4474,53463,73959,4922,20716,39694,9786,947,0,0,142225,142708,24197,23714,38044,115009,-50138,53.39606532,-20496,13674,-84427,65.16855078,-18978,32449,-47274,35.49289415,8839,14918,-9204,74.79893873,0.723100007,0.591600001,0.791199982,65.88177256
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,5/31/2022,232741,153661,49933,4095,49334,82731,4693,24897,35426,2454,1063,529,0,134002,131556,19659,22105,45838,115009,-50138,58.1154971,-33397,13674,-84427,52.01781837,-10529,32449,-47274,46.09083953,1391,14918,-9204,43.92256032,0.717649996,0.591600001,0.791199982,63.15130623
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,5/24/2022,232741,158615,53445,3762,46686,86200,4356,26361,33146,2995,4968,529,0,140000,132177,18615,26438,49683,115009,-50138,60.44372589,-39514,13674,-84427,45.78240793,-6785,32449,-47274,50.78710033,-1973,14918,-9204,29.97678468,0.708500028,0.591600001,0.791199982,58.56715318
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,5/17/2022,232741,163809,54146,2901,44451,86051,4177,36864,37437,3299,1252,529,5,144622,134827,19187,28982,51245,115009,-50138,61.38954992,-41600,13674,-84427,43.65602797,-573,32449,-47274,58.57908006,2047,14918,-9204,46.64206948,0.701650023,0.591600001,0.791199982,55.13528703
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,5/10/2022,232741,153209,49644,2911,44356,81349,4109,30453,35459,2940,1207,529,0,133078,127666,20131,25543,46733,115009,-50138,58.65743852,-36993,13674,-84427,48.35220844,-5006,32449,-47274,53.01857682,1733,14918,-9204,45.3403532,0.694100022,0.591600001,0.791199982,51.35272097
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,5/3/2022,232741,152257,38756,6191,41183,76244,3215,41597,35160,3824,2297,529,0,130927,125218,21330,27039,32565,115009,-50138,50.07841499,-35061,13674,-84427,50.32160732,6437,32449,-47274,67.37202564,1527,14918,-9204,44.486361,0.709599972,0.591600001,0.791199982,59.11822744
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,4/26/2022,232741,147090,37113,16344,45512,62727,1194,37619,41236,627,1857,529,0,123970,122705,23120,24385,20769,115009,-50138,42.9356876,-17215,13674,-84427,68.51306307,-3617,32449,-47274,54.76085948,-1230,14918,-9204,33.05696045,0.714749992,0.591600001,0.791199982,61.69839808
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,4/19/2022,232741,147309,35129,32544,55548,54122,1050,25067,38508,312,1927,534,0,119052,127089,28257,20220,2585,115009,-50138,31.92489116,1426,13674,-84427,87.5149081,-13441,32449,-47274,42.43819224,-1615,14918,-9204,31.46090706,0.737699986,0.591600001,0.791199982,73.19639195
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,4/12/2022,232741,150939,35452,32449,59109,56889,1077,24528,40740,324,1327,1177,0,121833,132672,29106,18267,3003,115009,-50138,32.17799899,2220,13674,-84427,88.32427804,-16212,32449,-47274,38.96240734,-1003,14918,-9204,33.99801012,0.746150017,0.591600001,0.791199982,77.42987495
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,4/5/2022,232741,148898,35175,29756,56510,56488,1285,20653,42147,1190,1752,880,0,116585,131766,32313,17132,5419,115009,-50138,33.64093807,22,13674,-84427,86.08373003,-21494,32449,-47274,32.33696675,-562,14918,-9204,35.82621673,0.759549975,0.591600001,0.791199982,84.1432817
